country,year,iso_code,population,gdp,biofuel_consumption,biofuel_share_energy,carbon_intensity_elec,coal_consumption,coal_share_energy,fossil_fuel_consumption,fossil_share_energy,gas_consumption,gas_share_energy,greenhouse_gas_emissions,hydro_consumption,hydro_share_energy,low_carbon_consumption,low_carbon_share_energy,nuclear_consumption,nuclear_share_energy,oil_consumption,oil_share_energy,other_renewable_consumption,other_renewables_share_energy,primary_energy_consumption,renewables_consumption,renewables_share_energy,solar_consumption,solar_share_energy,wind_consumption,wind_share_energy
ASEAN (Ember),2000,,,,,,500.231,,,,,,,184.41,,,,,,,,,,,,,,,,,
ASEAN (Ember),2001,,,,,,499.358,,,,,,,198.34,,,,,,,,,,,,,,,,,
ASEAN (Ember),2002,,,,,,505.652,,,,,,,213.8,,,,,,,,,,,,,,,,,
ASEAN (Ember),2003,,,,,,513.698,,,,,,,229.7,,,,,,,,,,,,,,,,,
ASEAN (Ember),2004,,,,,,520.91,,,,,,,252.61,,,,,,,,,,,,,,,,,
ASEAN (Ember),2005,,,,,,525.789,,,,,,,268.51,,,,,,,,,,,,,,,,,
ASEAN (Ember),2006,,,,,,525.277,,,,,,,280.85,,,,,,,,,,,,,,,,,
ASEAN (Ember),2007,,,,,,529.352,,,,,,,298.56,,,,,,,,,,,,,,,,,
ASEAN (Ember),2008,,,,,,518.096,,,,,,,305.77,,,,,,,,,,,,,,,,,
ASEAN (Ember),2009,,,,,,519.021,,,,,,,317.21,,,,,,,,,,,,,,,,,
ASEAN (Ember),2010,,,,,,523.399,,,,,,,351.86,,,,,,,,,,,,,,,,,
ASEAN (Ember),2011,,,,,,521.27,,,,,,,368.71,,,,,,,,,,,,,,,,,
ASEAN (Ember),2012,,,,,,519.454,,,,,,,395.46,,,,,,,,,,,,,,,,,
ASEAN (Ember),2013,,,,,,513.732,,,,,,,413.78,,,,,,,,,,,,,,,,,
ASEAN (Ember),2014,,,,,,518.906,,,,,,,440.93,,,,,,,,,,,,,,,,,
ASEAN (Ember),2015,,,,,,534.347,,,,,,,474.65,,,,,,,,,,,,,,,,,
ASEAN (Ember),2016,,,,,,530.912,,,,,,,509.49,,,,,,,,,,,,,,,,,
ASEAN (Ember),2017,,,,,,515.5,,,,,,,518.32,,,,,,,,,,,,,,,,,
ASEAN (Ember),2018,,,,,,522.01,,,,,,,555.45,,,,,,,,,,,,,,,,,
ASEAN (Ember),2019,,,,,,541.692,,,,,,,605.13,,,,,,,,,,,,,,,,,
ASEAN (Ember),2020,,,,,,535.228,,,,,,,591.33,,,,,,,,,,,,,,,,,
